HV (V), centroid (chn), FWHM (chn), Net Area
-400,   1328.78,        5.5848,     972
-300,   1331.19,        6.1365,     1156
-250,   1328.50,        6.8545,     884
-200,   1318.68,        7.2422,     1140
-150,   1322.26,        7.3600,     855
-100,   1310.47,        9.7974,     926
-50,    1273.77,        9.5068,     689
50,     1233.12,        6.2363,     1050
100,    1358.43,        9.9444,     981
150,    1377.80,        7.2127,     618
200,    1370.98,        9.5521,     1067
250,    1384.61,        8.7526,     864
300,    1388.21,        7.9209,     775 
400,    1385.38,        7.2846,     1013