dT[s],delay,count coin,count s1,count sg
300, 0, 110, 28031, 23420
300, 3, 201, 28183, 22389
300, 6, 361, 28465, 22504
300, 9, 453, 28023, 23098
300, 12, 530, 28108, 22904
300, 15, 609, 28003, 23200
300, 18, 630, 28428, 23458
300, 21, 637, 28387, 23284
200, 31, 447, 18845, 15618
200, 41, 504, 18502, 15733
200, 51, 504, 19050, 15349
200, 61, 458, 18762, 16126
200, 71, 486, 18888, 15876
200, 81, 494, 18871, 15688
200, 91, 502, 18758, 15919
200, 101, 367, 18687, 15619
300, 104, 497, 28041, 22605
300, 107, 395, 28366, 22408
300, 110, 252,28122,22936
300, 113, 156, 28264, 23113
300,116, 133, 28504, 22028
300, 119, 118, 28921, 23300
300, 94, 739, 29077, 23561
300,97, 700, 29041, 23764
300, -3, 41, 28829, 24833
300, -5, 32, 28897, 24313